timestamp,relative_time (seg),id,value
1562356415173,0.004,0xac,"{'D1_Commanded_Torque': 0.9, 'D3_Power_On_Timer': 504.06600000000003, 'D2_Torque_Feedback': -0.8}"
1562356416175,1.006,0xaa,"{'D4_Inverter_Run_Mode': 0, 'D3_Relay_3_Status': 1, 'D3_Relay_5_Status': 0, 'D3_Relay_4_Status': 0, 'D7_BMS_Active': 0, 'D5_Inverter_Command_Mode': 0, 'D2_Inverter_State': 'Idle Run', 'D3_Relay_2_Status': 0, 'D4_Inverter_Discharge_State': 0, 'D6_Inverter_Enable_Lockout': 0, 'D3_Relay_6_Status': 0, 'D6_Inverter_Enable_State': 1, 'D7_BMS_Torque_Limiting': 0, 'D1_VSM_State': 'Motor Running State', 'D3_Relay_1_Status': 0, 'D7_Direction_Command': 0}"
1562356417175,2.006,0xa4,"{'D2_Digital_Input_2': 0, 'D7_Digital_Input_7': 0, 'D3_Digital_Input_3': 0, 'D1_Digital_Input_1': 0, 'D8_Digital_Input_8': 0, 'D5_Digital_Input_5': 0, 'D6_Digital_Input_6': 0, 'D4_Digital_Input_4': 0}"
1562356418176,3.007,0xc0,"{'Speed_Mode_Enable': 0, 'Inverter_Discharge': 'Discharge Disable', 'Torque_Limit_Command': 0.0, 'Inverter_Enable': 'Turn the Inverter ON', 'Direction_Command': 'CW', 'Speed_Command': 0, 'Torque_Command': 1.0}"
1562356419179,4.01,0xad,"{'D4_Iq_Command': -1.3, 'D2_Flux_Weakening_Output': 0.0, 'D1_Modulation_Index': 0.0403, 'D3_Id_Command': 0.0}"
1562356420180,5.011,0xab,"{'D1_Post_Fault_Lo': 0, 'D3_Run_Fault_Lo': 0, 'D4_Run_Fault_Hi': 0, 'D2_Post_Fault_Hi': 0}"
1562356421181,6.012,0xa4,"{'D2_Digital_Input_2': 0, 'D7_Digital_Input_7': 0, 'D3_Digital_Input_3': 0, 'D1_Digital_Input_1': 0, 'D8_Digital_Input_8': 0, 'D5_Digital_Input_5': 0, 'D6_Digital_Input_6': 0, 'D4_Digital_Input_4': 0}"
1562356422185,7.016,0xac,"{'D1_Commanded_Torque': 0.9, 'D3_Power_On_Timer': 511.266, 'D2_Torque_Feedback': -0.5}"
1562356423185,8.016,0xa8,"{'D3_Id': 0.8, 'D2_Flux_Feedback': -4.593, 'D1_Flux_Command': 0.051000000000000004, 'D4_Iq': -0.6000000000000001}"
1562356424187,9.018,0xa7,"{'D1_DC_Bus_Voltage': 607.8000000000001, 'D4_VBC_Vq_Voltage': -11.4, 'D3_VAB_Vd_Voltage': 0.7000000000000001, 'D2_Output_Voltage': 11.4}"
1562356425191,10.022,0xad,"{'D4_Iq_Command': -1.5, 'D2_Flux_Weakening_Output': 0.0, 'D1_Modulation_Index': 0.0408, 'D3_Id_Command': 0.0}"
1562356426192,11.023,0xa3,"{'D1_Analog_Input_1': 4.92, 'D6_Analog_Input_6': 4.93, 'D4_Analog_Input_4': 4.92, 'D3_Analog_Input_3': 4.92, 'D2_Analog_Input_2': 2.08, 'D5_Analog_Input_5': 4.93}"
1562356427193,12.024,0xa8,"{'D3_Id': 1.0, 'D2_Flux_Feedback': -4.593, 'D1_Flux_Command': 0.051000000000000004, 'D4_Iq': -1.9000000000000001}"
1562356428198,13.029,0xae,"{'D3_DateCode_MMDD': 1297, 'D2_SW_Version': 6580, 'D4_DateCode_YYYY': 8216, 'D1_Project_Code_EEP_Ver': 16}"
